Verifying with hexadecimal (base-16) digit sums...

✓ 4 (n=2): root=2, hexadecimal_sum=4, 2 == 4-2
✓ 809438706724502072072607786625802046256053678397861468978206736741871214969528829345742072697016878415282684495063407570976768 (n=45): root=628, hexadecimal_sum=673, 628 == 673-45
✓ 4376649903203371860561341555575884064725794418463980343542081662197315649992458706874261829787852606982096465264501926062456832 (n=45): root=652, hexadecimal_sum=697, 652 == 697-45
✓ 260481377636644270384718039403492354759322154728257481003190904432114984671842915091915710352035269296604485109366001009 (n=42): root=697, hexadecimal_sum=739, 697 == 739-42
✓ 404656864796261010935045438389896977164437869440781248742662978167180283727083672619515208733908391801379830995712793181958368401 (n=45): root=721, hexadecimal_sum=766, 721 == 766-45
✓ 458377591431838418501083074337071391439622895383084183397590356833350207714074467978288447335339558309476796042445176534313955043 (n=45): root=723, hexadecimal_sum=768, 723 == 768-45
✓ 9335865528461420584800882243595449518149049668119291445269509245752102996690732070644890705487394419042032552840988801681 (n=42): root=759, hexadecimal_sum=801, 759 == 801-42
✓ 1992631913968841280811802628092082735421125117198017698280907199518630481219153943714992506248806771172443757231465969450052910107 (n=45): root=747, hexadecimal_sum=792, 747 == 792-45
✓ 2247407348001645189011009292123435308123413875092206550672242545143928587080491214351255706889732594707840725490995281981943158749 (n=45): root=749, hexadecimal_sum=794, 749 == 794-45
✓ 9291315904414696384895267703933946181297142457362738788605258745090335475864064019501092992351447016984804133473102102890794422293 (n=45): root=773, hexadecimal_sum=818, 773 == 818-45
✓ 29328741604191105062647263780772965107311974683913257636836796805931738840721734451167281034390669549871336384612142929343007851193 (n=45): root=793, hexadecimal_sum=838, 793 == 838-45
✓ 36781078778796456070445848791012880728283175265943927411422255816646288661794855643823992806055324939338686131917330992296602817357 (n=45): root=797, hexadecimal_sum=842, 797 == 842-45
✓ 64462784701756278617630967058345655423426782032671067028555449711998507494507512556455987288570405131270163033611094495385933020807 (n=45): root=807, hexadecimal_sum=852, 807 == 852-45
✓ 89965200407615808592438615169780686315185145479105000299321301018910622008401911993864693126856486068217510288870644476439652024093 (n=45): root=813, hexadecimal_sum=858, 813 == 858-45
✓ 2722586592420432696223908367000004301590074297277970631556649246093742352842964793706379508614725212521038316433796813601845389796957 (n=45): root=877, hexadecimal_sum=922, 877 == 922-45
✓ 19127439256749775674287873350380374428449924364919779684017411654930459774325418826353999450636246387752152475735466549642777388384256 (n=48): root=598, hexadecimal_sum=646, 598 == 646-48
✓ 124157604192481508452668031332273282003091690397708194194957554378477223199061622284446479866981565611112722051298798478977776214423371776 (n=48): root=718, hexadecimal_sum=766, 718 == 766-48
✓ 14625576414439799976439750660751311579471046178627305344272075987848400854331474436390500154378061757523262731202680444896715967362389417601 (n=48): root=793, hexadecimal_sum=841, 793 == 841-48
✓ 484789824963031923951214550953500567461797053669812826929754766594732801225830620716749611164255434576889723174202728202048423446611550992961 (n=48): root=853, hexadecimal_sum=901, 853 == 901-48
✓ 14555063541892920493562545990766721954681819695865870652073293134107290689083681725595729295156410645188286055831432203337728 (n=51): root=272, hexadecimal_sum=323, 272 == 323-51
✓ 23498596845542459061721754897244849378956524450124570917183420438352898792119555668975573213875477687099998869318270104313134186420502528 (n=51): root=472, hexadecimal_sum=523, 472 == 523-51
✓ 690198436711895154794281202447131782177024895256134278168693452644691646298906532554653811526717441329429787482989637634261439404412068150167991669883 (n=51): root=867, hexadecimal_sum=918, 867 == 918-51
✓ 20944328521452341005105539040545993162518761566290062087921248029325463469648667472335299056202547449157706402412184386813949543000114356922219341081823 (n=51): root=927, hexadecimal_sum=978, 927 == 978-51
✓ 106294018629648995855083611183309150671243892466074671906475628384614376621294240627329499750829805779598937044716464677851045138996212356419062531960293 (n=51): root=957, hexadecimal_sum=1008, 957 == 1008-51
✓ 1260093151201842640972697226721715823280312928315092227003402108447722070981891462365341924119357088214890029453929543024059967137873172760009765625 (n=50): root=875, hexadecimal_sum=925, 875 == 925-50
✓ 1773353925397458617085370936812847551694611278097761619925796005770220303101023879146215581086395787646505734777070836855789998389753756435175884001 (n=50): root=881, hexadecimal_sum=931, 881 == 931-50
✓ 535674026977027474264393140078825882001537853793959244851405069472652919194188136407188351422635806902483374286324871447148807755993747824268325616450677376024576 (n=60): root=496, hexadecimal_sum=556, 496 == 556-60
✓ 48873677980689257489322752273774603865660850176000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 (n=60): root=600, hexadecimal_sum=660, 600 == 660-60
✓ 3229246017998554007515224836513361914702373052027101855019452571777443225693460738647242589141914189510779823172801000000000000000000000000000000000000000000000000000000000000 (n=60): root=810, hexadecimal_sum=870, 810 == 870-60
✓ 3487253664116352148379677787894224389042794309755254854900717502161523432709118620698744985907148081831164302461872401000000000000000000000000000000000000000000000000000000000000 (n=60): root=910, hexadecimal_sum=970, 910 == 970-60
✓ 160806669021576860963333529755766975086613686453781674299181564477227080424393200301668634672454385761663323008363331201000000000000000000000000000000000000000000000000000000000000 (n=60): root=970, hexadecimal_sum=1030, 970 == 1030-60
✓ 547156642390761476194741370840006174593084288894372625927973260005098646976716330666955874608367161577767293609297694001000000000000000000000000000000000000000000000000000000000000 (n=60): root=990, hexadecimal_sum=1050, 990 == 1050-60
✓ 1348850152549316069346009172439388493659026964210850681356956658586252894629817796926397848343180241320424358881106486078581538643117811866224686756510209306725300848484039306640625 (n=60): root=1005, hexadecimal_sum=1065, 1005 == 1065-60
✓ 1613452913185645817129787172253611363644744302918763828603597650426195192606989121915371540534604511508812335534736421687746434782965486564377361607604695106352150147963616937749470801 (n=60): root=1131, hexadecimal_sum=1191, 1131 == 1191-60
